date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,_nonnull_cnt,_nonnull_frac,_key,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_211_normalized,smart_211_raw,smart_212_normalized,smart_212_raw
2023-03-31,22133651362E,MTFDDAV480TDS,480103981056,0,100.0,0.0,,,,,,,100.0,0.0,,,,,100.0,5605.0,,,,,100.0,38.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,67.0,100.0,32.0,99.0,51.0,,,,,,,100.0,0.0,100.0,2161.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,92.0,,,,,,,,,,,30.0,70.0,100.0,0.0,100.0,0.0,,,100.0,0.0,100.0,0.0,,,100.0,0.0,99.0,2007.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,64640015473.0,,,100.0,64640015473.0,,,100.0,71932941856.0,,,,,99.0,99.0,,,100.0,2019997955.0,100.0,227906478.0,,,,,,,,,,,65,0.3611111111111111,data_Q1_2023/2023-03-31.csv,,,,,,,,,,,,,,,,,,
2023-03-31,221336513661,MTFDDAV480TDS,480103981056,0,100.0,0.0,,,,,,,100.0,0.0,,,,,100.0,5605.0,,,,,100.0,38.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,68.0,100.0,32.0,99.0,51.0,,,,,,,100.0,0.0,100.0,2161.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,92.0,,,,,,,,,,,31.0,69.0,100.0,0.0,100.0,0.0,,,100.0,0.0,100.0,0.0,,,100.0,0.0,99.0,2009.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,64194362502.0,,,100.0,64194362502.0,,,100.0,71420973984.0,,,,,99.0,99.0,,,100.0,2006074136.0,100.0,225831302.0,,,,,,,,,,,65,0.3611111111111111,data_Q1_2023/2023-03-31.csv,,,,,,,,,,,,,,,,,,
2023-03-30,221336513661,MTFDDAV480TDS,480103981056,0,100.0,0.0,,,,,,,100.0,0.0,,,,,100.0,5583.0,,,,,100.0,38.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,68.0,100.0,32.0,99.0,51.0,,,,,,,100.0,0.0,100.0,2161.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,92.0,,,,,,,,,,,31.0,69.0,100.0,0.0,100.0,0.0,,,100.0,0.0,100.0,0.0,,,100.0,0.0,99.0,2009.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,64194362502.0,,,100.0,64194362502.0,,,100.0,71420623392.0,,,,,99.0,99.0,,,100.0,2006074136.0,100.0,225820346.0,,,,,,,,,,,65,0.3611111111111111,data_Q1_2023/2023-03-30.csv,,,,,,,,,,,,,,,,,,
2023-03-30,22133651362E,MTFDDAV480TDS,480103981056,0,100.0,0.0,,,,,,,100.0,0.0,,,,,100.0,5583.0,,,,,100.0,38.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,67.0,100.0,32.0,99.0,51.0,,,,,,,100.0,0.0,100.0,2161.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,92.0,,,,,,,,,,,31.0,69.0,100.0,0.0,100.0,0.0,,,100.0,0.0,100.0,0.0,,,100.0,0.0,99.0,2007.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,64460187823.0,,,100.0,64460187823.0,,,100.0,71729985376.0,,,,,99.0,99.0,,,100.0,2014378468.0,100.0,227183576.0,,,,,,,,,,,65,0.3611111111111111,data_Q1_2023/2023-03-30.csv,,,,,,,,,,,,,,,,,,
2023-03-29,221336513661,MTFDDAV480TDS,480103981056,0,100.0,0.0,,,,,,,100.0,0.0,,,,,100.0,5554.0,,,,,100.0,38.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,68.0,100.0,32.0,99.0,51.0,,,,,,,100.0,0.0,100.0,2161.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,92.0,,,,,,,,,,,34.0,66.0,100.0,0.0,100.0,0.0,,,100.0,0.0,100.0,0.0,,,100.0,0.0,99.0,2009.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,64194362502.0,,,100.0,64194362502.0,,,100.0,71420169792.0,,,,,99.0,99.0,,,100.0,2006074136.0,100.0,225806171.0,,,,,,,,,,,65,0.3611111111111111,data_Q1_2023/2023-03-29.csv,,,,,,,,,,,,,,,,,,
2023-03-29,22133651362E,MTFDDAV480TDS,480103981056,0,100.0,0.0,,,,,,,100.0,0.0,,,,,100.0,5554.0,,,,,100.0,38.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,67.0,100.0,32.0,99.0,51.0,,,,,,,100.0,0.0,100.0,2161.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,92.0,,,,,,,,,,,33.0,67.0,100.0,0.0,100.0,0.0,,,100.0,0.0,100.0,0.0,,,100.0,0.0,99.0,2007.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,64284291021.0,,,100.0,64284291021.0,,,100.0,71528140224.0,,,,,99.0,99.0,,,100.0,2008881859.0,100.0,226372523.0,,,,,,,,,,,65,0.3611111111111111,data_Q1_2023/2023-03-29.csv,,,,,,,,,,,,,,,,,,
2024-01-20,BTYK22150MGR240A,SSDSCKKB240GZR,240057409536,0,130.0,4294967295.0,,,,,,,59.0,0.0,,,,,100.0,8111.0,,,,,100.0,2.0,130.0,64424509439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,35.0,100.0,2.0,100.0,32.0,,,,,,,100.0,0.0,100.0,1829.0,100.0,0.0,100.0,0.0,,,100.0,0.0,,,,,,,,,,,,,,,100.0,43.0,100.0,0.0,,,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,12884838662.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,248919.0,100.0,0.0,100.0,248919.0,,,100.0,248919.0,100.0,150368.0,,,100.0,100.0,,,,,,,,,,,,,,,,,68,0.35051546391752575,data_Q1_2024/2024-01-20.csv,sac0,0.0,1154.0,14.0,,False,,,,,,,,,,,,
2024-02-13,BTYK22150MGR240A,SSDSCKKB240GZR,240057409536,0,130.0,4294967295.0,,,,,,,59.0,0.0,,,,,100.0,8688.0,,,,,100.0,2.0,130.0,64424509439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,36.0,100.0,2.0,100.0,34.0,,,,,,,100.0,0.0,100.0,1829.0,100.0,0.0,100.0,0.0,,,100.0,0.0,,,,,,,,,,,,,,,100.0,43.0,100.0,0.0,,,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,12884838662.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,261353.0,100.0,0.0,100.0,261353.0,,,100.0,261353.0,100.0,159455.0,,,100.0,100.0,,,,,,,,,,,,,,,,,68,0.35051546391752575,data_Q1_2024/2024-02-13.csv,sac0,0.0,1154.0,14.0,,False,,,,,,,,,,,,
2024-01-01,BTYK22150MGR240A,SSDSCKKB240GZR,240057409536,0,130.0,4294967295.0,,,,,,,59.0,0.0,,,,,100.0,7652.0,,,,,100.0,2.0,130.0,64424509439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,34.0,100.0,2.0,100.0,31.0,,,,,,,100.0,0.0,100.0,1829.0,100.0,0.0,100.0,0.0,,,100.0,0.0,,,,,,,,,,,,,,,100.0,42.0,100.0,0.0,,,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,12884838662.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,239960.0,100.0,0.0,100.0,239960.0,,,100.0,239960.0,100.0,142599.0,,,100.0,100.0,,,,,,,,,,,,,,,,,68,0.35051546391752575,data_Q1_2024/2024-01-01.csv,sac0,0.0,1154.0,14.0,,False,,,,,,,,,,,,
2024-02-25,BTYK22150MGR240A,SSDSCKKB240GZR,240057409536,0,130.0,4294967295.0,,,,,,,59.0,0.0,,,,,100.0,8977.0,,,,,100.0,2.0,130.0,68719476735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,37.0,100.0,2.0,100.0,34.0,,,,,,,100.0,0.0,100.0,1829.0,100.0,0.0,100.0,0.0,,,100.0,0.0,,,,,,,,,,,,,,,100.0,42.0,100.0,0.0,,,100.0,0.0,100.0,0.0,100.0,0.0,,,100.0,12884838662.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,268373.0,100.0,0.0,100.0,268373.0,,,100.0,268373.0,100.0,163969.0,,,100.0,100.0,,,,,,,,,,,,,,,,,68,0.35051546391752575,data_Q1_2024/2024-02-25.csv,sac0,0.0,1154.0,14.0,,False,,,,,,,,,,,,
